,City,Lattitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,pinsk,52.12,26.1,11.73,91,97,6.29,BY,1601619864
88,katangli,51.71,143.23,11.35,64,3,2.68,RU,1601619865
89,itoman,26.12,127.67,30.0,58,20,7.2,JP,1601619582
90,kaitangata,-46.28,169.85,13.89,72,93,0.89,NZ,1601619865
91,camopi,3.17,-52.32,22.0,97,70,0.4,GF,1601619865
92,coquimbo,-29.95,-71.34,9.0,87,3,2.0,CL,1601619866
93,cape town,-36.41,-71.9,4.0,100,0,3.1,CL,1601619866
94,new norfolk,6.65,-10.59,22.68,97,100,0.84,LR,1601619866
95,pangnirtung,66.15,-65.71,-4.24,84,8,2.67,CA,1601619866
96,chara,56.91,118.26,2.63,80,100,2.03,RU,1601619866
97,east london,65.0,-15.0,1.0,80,75,2.1,IS,1601619867
98,berlevag,70.86,29.09,6.0,81,75,1.5,NO,1601619867
99,xai-xai,-25.05,33.64,21.41,88,98,6.11,MZ,1601619867
100,matara,5.95,80.54,29.78,66,73,6.3,LK,1601619868
101,karagay,58.27,54.94,12.96,82,60,2.09,RU,1601619868
102,saskylakh,71.92,114.08,-2.44,96,100,10.68,RU,1601619868
103,kaseda,31.42,130.32,27.0,42,20,1.5,JP,1601619805
104,khatanga,71.97,102.5,-0.6,97,100,7.52,RU,1601619869
105,tura,25.52,90.22,28.1,88,98,1.45,IN,1601619869
106,ansalta,42.69,46.12,17.34,49,100,1.17,RU,1601619869
107,chokurdakh,70.63,147.92,-0.24,95,100,1.86,RU,1601619869
108,tiksi,71.69,128.87,-2.02,94,52,6.91,RU,1601619870
109,natal,-5.79,-35.21,22.0,94,40,1.5,BR,1601619870
110,butaritari,3.07,172.79,27.4,70,11,6.76,KI,1601619870
111,griffith,41.53,-87.42,7.0,100,1,1.5,US,1601619870
112,kasaragod,12.5,75.0,28.0,78,75,3.1,IN,1601619870
113,kushima,31.46,131.23,27.0,65,20,4.1,JP,1601619865
114,mandapam,9.28,79.12,28.38,72,100,5.73,IN,1601619871
115,zabol,32.25,67.25,18.84,23,0,4.6,AF,1601619872
116,san cristobal,13.3,-4.9,25.1,80,100,2.49,ML,1601619825
117,tefe,-3.35,-64.71,22.73,95,96,0.25,BR,1601619873
118,thompson,55.74,-97.86,0.0,84,75,0.42,CA,1601619874
119,mao,39.89,4.27,22.0,88,40,7.7,ES,1601619874
120,barrow,71.29,-156.79,1.0,86,90,7.7,US,1601619708
121,rudsar,37.14,50.29,23.0,69,75,2.1,IR,1601619875
122,carnarvon,-24.87,113.63,23.0,60,75,4.6,AU,1601619876
123,jalu,29.03,21.55,26.67,37,0,4.71,LY,1601619877
124,kruisfontein,-34.0,24.73,15.56,67,100,2.68,ZA,1601619878
125,moengo,5.62,-54.4,23.28,94,78,0.35,SR,1601619878
126,ancud,-41.87,-73.82,3.33,82,19,2.6,CL,1601619879
127,chiredzi,-21.05,31.67,22.02,77,94,4.82,ZW,1601619880
128,kapaa,22.08,-159.32,26.0,78,1,2.1,US,1601619881
129,avera,33.19,-82.53,17.0,88,1,3.1,US,1601619881
130,green valley,40.95,-81.48,7.0,81,20,3.1,US,1601619882
131,nanortalik,60.14,-45.24,4.18,89,100,6.52,GL,1601619882
132,bure,10.7,37.07,17.39,78,37,1.77,ET,1601619883
133,praia,14.92,-23.51,26.0,74,79,5.7,CV,1601619884
134,basco,20.45,121.97,27.82,70,0,7.52,PH,1601619885
135,pithapuram,17.12,82.27,31.0,66,90,3.6,IN,1601619886
136,hasaki,35.73,140.83,27.22,64,20,3.6,JP,1601619886
137,santa cruz,17.49,120.43,29.89,74,87,3.06,PH,1601619887
138,santa maria,17.49,120.43,29.89,74,87,3.06,PH,1601619888
139,norman wells,35.22,-97.44,12.22,50,40,3.01,US,1601619747
140,moerai,-22.43,-151.33,24.23,85,80,6.19,PF,1601619889
141,viedma,-40.81,-63.0,5.45,63,100,4.43,AR,1601619890
142,touros,-5.2,-35.46,22.0,94,40,1.5,BR,1601619890
143,dunedin,-45.87,170.5,12.78,70,72,1.34,NZ,1601619891
144,carballo,43.21,-8.69,11.0,76,40,7.7,ES,1601619748
145,ulladulla,-35.35,150.47,27.0,22,0,5.1,AU,1601619892
146,peniche,39.36,-9.38,18.89,91,100,6.26,PT,1601619893
147,tilichiki,60.47,166.1,4.81,71,90,8.03,RU,1601619893
148,flinders,-34.58,150.86,24.44,54,0,1.34,AU,1601619894
149,longyearbyen,78.22,15.64,0.0,91,75,1.5,SJ,1601619778
150,esperance,-33.87,121.9,18.0,72,90,7.7,AU,1601619895
151,roald,62.58,6.13,16.0,55,71,7.7,NO,1601619896
152,sinnamary,5.38,-52.95,25.86,82,80,1.84,GF,1601619896
153,sistranda,63.73,8.83,14.0,58,17,9.8,NO,1601619897
154,saint-pierre,-21.34,55.48,26.0,65,1,3.1,RE,1601619897
155,severnoye,56.35,78.36,11.82,80,92,3.59,RU,1601619898
156,moose factory,43.66,-110.72,8.0,52,1,2.1,US,1601619898
157,bengkulu,-3.8,102.27,25.93,83,92,3.11,ID,1601619899
158,taoudenni,22.68,-3.98,30.39,13,0,1.26,ML,1601619900
159,tadine,-21.55,167.88,21.51,77,100,3.3,NC,1601619901
160,lasa,46.62,10.7,13.33,100,90,5.1,IT,1601619901
161,diamantino,-14.41,-56.45,26.89,31,99,2.44,BR,1601619902
162,mosetse,-20.75,26.65,26.68,36,47,6.21,BW,1601619903
163,ardakan,32.31,54.02,25.0,23,20,1.0,IR,1601619905
164,hochstadt,49.25,8.21,12.22,96,100,2.77,DE,1601619906
165,killybegs,54.63,-8.45,9.44,90,34,3.13,IE,1601619907
166,maraa,-1.83,-65.37,22.81,97,95,0.31,BR,1601619907
167,port hardy,-7.03,29.76,26.28,60,2,3.03,CD,1601619675
168,provideniya,64.38,-173.3,5.0,86,90,9.0,RU,1601619909
169,tessalit,20.2,1.01,29.48,30,3,4.46,ML,1601619910
170,hithadhoo,-0.6,73.08,28.67,65,18,1.32,MV,1601619911
171,fortuna,40.6,-124.16,13.33,93,1,1.5,US,1601619911
172,buala,-8.14,159.59,27.92,77,17,4.6,SB,1601619912
173,ugra,54.78,34.33,11.1,58,72,3.98,RU,1601619913
174,nalut,30.33,10.85,25.77,19,14,4.29,LY,1601619913
175,puri,19.8,85.85,29.0,94,75,3.1,IN,1601619914
176,kosa,59.94,55.0,12.15,84,89,2.59,RU,1601619915
177,sorland,67.67,12.69,11.0,87,0,3.1,NO,1601619915
178,karakol,42.49,78.39,13.49,38,95,2.17,KG,1601619916
179,nome,64.5,-165.41,9.0,81,90,7.2,US,1601619917
180,gizo,-8.1,156.84,28.75,70,71,3.03,SB,1601619918
181,assiniboia,49.63,-105.98,7.03,56,82,3.45,CA,1601619918
182,haldia,22.06,88.11,26.7,88,99,3.31,IN,1601619682
183,inhambane,-23.86,35.38,23.0,88,75,2.6,MZ,1601619920
184,mys shmidta,62.06,48.62,10.85,85,93,2.77,RU,1601619920
185,kokoda,-8.88,147.74,26.41,69,80,2.15,PG,1601619921
186,yarada,17.65,83.27,32.0,62,75,1.5,IN,1601619922
187,mecca,21.43,39.83,32.11,32,0,0.8,SA,1601619923
188,alice springs,27.75,-98.07,17.0,87,1,1.5,US,1601619923
189,ponta do sol,38.73,-28.27,18.0,82,20,4.6,PT,1601619924
190,lorengau,-2.02,147.27,26.61,78,100,1.17,PG,1601619925
191,beringovskiy,63.05,179.32,4.12,88,100,11.59,RU,1601619925
192,cherskiy,68.75,161.3,0.36,87,24,1.21,RU,1601619926
193,qasigiannguit,68.82,-51.19,4.0,55,98,5.1,GL,1601619927
194,darhan,49.49,105.92,3.76,64,100,7.52,MN,1601619928
195,komsomolskiy,40.43,71.72,19.0,34,58,2.1,UZ,1601619929
196,portland,45.52,-122.68,17.22,82,75,0.93,US,1601619930
197,adrar,20.5,-10.07,29.61,21,2,6.45,MR,1601619931
198,sainte-maxime,43.3,6.63,20.56,93,99,3.1,FR,1601619878
199,aklavik,68.22,-135.01,6.0,81,20,1.5,CA,1601619932
200,saldanha,-33.01,17.94,12.0,81,20,5.1,ZA,1601619933
201,mogadishu,2.04,45.34,27.0,69,75,5.1,SO,1601619933
202,phuket,8.0,98.25,30.0,74,20,5.1,TH,1601619934
203,akdepe,42.06,59.38,18.0,34,0,1.0,TM,1601619934
204,concepcion,-36.83,-73.05,6.0,87,0,2.1,CL,1601619935
205,angoche,-16.23,39.91,26.9,67,14,1.08,MZ,1601619936
206,abu samrah,24.6,72.7,26.66,52,0,2.28,IN,1601619678
207,hamilton,39.18,-84.53,8.33,75,1,3.6,US,1601619498
208,mount isa,53.66,-1.85,6.67,95,83,1.79,GB,1601619937
209,salinopolis,-0.61,-47.36,25.61,84,73,4.48,BR,1601619938
210,urucara,-2.54,-57.76,24.82,72,86,0.92,BR,1601619939
211,gerash,27.67,54.14,30.0,30,0,0.43,IR,1601619940
212,san angelo,13.3,-4.9,25.1,80,100,2.49,ML,1601619941
213,mildura,-34.2,142.15,32.78,19,0,6.2,AU,1601619791
214,neiafu,-18.65,-173.98,25.87,84,31,7.05,TO,1601619942
215,mar del plata,43.4,-4.01,12.78,87,75,11.3,ES,1601619942
216,amapa,1.0,-52.0,21.59,98,100,0.45,BR,1601619943
217,chuy,-33.7,-53.46,12.34,75,0,5.97,UY,1601619943
218,altay,47.87,88.12,7.85,52,0,1.94,CN,1601619945
219,manitouwadge,49.12,-85.84,-0.38,97,100,1.91,CA,1601619945
220,egvekinot,66.32,-179.17,0.87,91,100,7.4,RU,1601619946
221,san luis,13.3,-4.9,25.1,80,100,2.49,ML,1601619947
222,dikson,73.51,80.55,1.31,86,95,8.94,RU,1601619947
223,dingle,11.0,122.67,30.77,68,73,1.09,PH,1601619948
224,montepuez,-13.13,39.0,26.95,46,79,2.37,MZ,1601619949
225,severo-kurilsk,50.68,156.12,9.45,82,99,4.78,RU,1601619949
226,college,64.86,-147.8,11.67,57,75,1.5,US,1601619950
227,obukhiv,50.11,30.62,13.0,87,90,4.0,UA,1601619951
228,baracoa,20.35,-74.5,26.86,84,74,4.3,CU,1601619951
229,dullewala,31.84,71.44,35.24,9,0,1.99,PK,1601619952
230,lima,-12.04,-77.03,16.11,87,90,5.7,PE,1601619895
231,shimoda,34.67,138.95,24.0,60,20,2.6,JP,1601619953
232,yaan,7.38,8.57,22.5,98,95,2.54,NG,1601619954
233,serebryansk,49.69,83.29,10.0,57,2,2.0,KZ,1601619954
234,ampanihy,-24.7,44.75,26.77,30,22,3.05,MG,1601619955
235,wenling,28.37,121.36,21.67,64,0,2.95,CN,1601619956
236,skjervoy,70.03,20.97,9.0,81,20,6.7,NO,1601619831
237,opuwo,-18.06,13.84,17.95,26,2,0.31,NA,1601619957
238,mizusawa,39.13,141.13,23.0,56,40,3.6,JP,1601619957
239,torbay,47.67,-52.73,15.56,93,90,4.6,CA,1601619959
240,taltal,-25.4,-70.48,13.71,73,8,1.48,CL,1601619959
241,cazin,44.97,15.94,13.33,94,67,2.09,BA,1601619960
242,klyuchi,52.27,79.17,9.13,52,1,3.1,RU,1601619961
243,goure,13.98,10.27,26.11,63,44,2.24,NE,1601619962
244,kunming,25.04,102.72,27.78,64,40,6.0,CN,1601619962
245,ajdabiya,30.76,20.23,23.26,50,0,7.37,LY,1601619963
246,peleduy,59.63,112.74,4.8,60,28,1.47,RU,1601619965
247,praia da vitoria,14.92,-23.51,26.0,74,79,5.7,CV,1601619795
248,comodoro rivadavia,-13.66,-59.79,23.88,56,95,1.66,BR,1601619966
249,coahuayana,18.73,-103.68,24.89,83,6,1.66,MX,1601619968
250,najran,17.49,44.13,28.0,14,0,3.1,SA,1601619968
251,havelock,34.88,-76.9,18.33,93,1,2.38,US,1601619770
252,marawi,8.0,124.29,30.0,74,71,3.13,PH,1601619970
